Categoría: Todas las categorías

Semana,Ansiedad: (Países Bajos)
2023-01-01,54
2023-01-08,63
2023-01-15,54
2023-01-22,50
2023-01-29,58
2023-02-05,52
2023-02-12,58
2023-02-19,58
2023-02-26,52
2023-03-05,68
2023-03-12,71
2023-03-19,62
2023-03-26,74
2023-04-02,70
2023-04-09,62
2023-04-16,67
2023-04-23,63
2023-04-30,65
2023-05-07,72
2023-05-14,68
2023-05-21,67
2023-05-28,73
2023-06-04,75
2023-06-11,75
2023-06-18,71
2023-06-25,66
2023-07-02,69
2023-07-09,61
2023-07-16,55
2023-07-23,57
2023-07-30,61
2023-08-06,90
2023-08-13,100
2023-08-20,63
2023-08-27,65
2023-09-03,64
2023-09-10,70
2023-09-17,67
2023-09-24,62
2023-10-01,65
2023-10-08,70
2023-10-15,65
2023-10-22,67
2023-10-29,63
2023-11-05,74
2023-11-12,65
2023-11-19,64
2023-11-26,73
2023-12-03,82
2023-12-10,74
2023-12-17,67
2023-12-24,64
2023-12-31,83
