Categoría: Todas las categorías

Semana,Ansiedad: (Portugal)
2023-01-01,86
2023-01-08,92
2023-01-15,84
2023-01-22,82
2023-01-29,82
2023-02-05,79
2023-02-12,83
2023-02-19,82
2023-02-26,83
2023-03-05,84
2023-03-12,100
2023-03-19,87
2023-03-26,88
2023-04-02,71
2023-04-09,90
2023-04-16,85
2023-04-23,87
2023-04-30,86
2023-05-07,83
2023-05-14,91
2023-05-21,85
2023-05-28,88
2023-06-04,88
2023-06-11,92
2023-06-18,87
2023-06-25,80
2023-07-02,86
2023-07-09,86
2023-07-16,80
2023-07-23,79
2023-07-30,75
2023-08-06,72
2023-08-13,76
2023-08-20,81
2023-08-27,83
2023-09-03,89
2023-09-10,88
2023-09-17,88
2023-09-24,89
2023-10-01,88
2023-10-08,92
2023-10-15,79
2023-10-22,80
2023-10-29,78
2023-11-05,87
2023-11-12,92
2023-11-19,88
2023-11-26,78
2023-12-03,81
2023-12-10,74
2023-12-17,73
2023-12-24,68
2023-12-31,87
