Categoría: Todas las categorías

Semana,Ansiedad: (Eslovenia)
2023-01-01,81
2023-01-08,100
2023-01-15,89
2023-01-22,67
2023-01-29,75
2023-02-05,90
2023-02-12,62
2023-02-19,87
2023-02-26,59
2023-03-05,75
2023-03-12,86
2023-03-19,69
2023-03-26,92
2023-04-02,72
2023-04-09,81
2023-04-16,77
2023-04-23,57
2023-04-30,87
2023-05-07,81
2023-05-14,73
2023-05-21,61
2023-05-28,71
2023-06-04,69
2023-06-11,72
2023-06-18,61
2023-06-25,67
2023-07-02,73
2023-07-09,56
2023-07-16,35
2023-07-23,57
2023-07-30,45
2023-08-06,78
2023-08-13,75
2023-08-20,88
2023-08-27,62
2023-09-03,84
2023-09-10,67
2023-09-17,59
2023-09-24,68
2023-10-01,69
2023-10-08,76
2023-10-15,64
2023-10-22,79
2023-10-29,69
2023-11-05,67
2023-11-12,88
2023-11-19,80
2023-11-26,47
2023-12-03,63
2023-12-10,64
2023-12-17,55
2023-12-24,56
2023-12-31,86
