Categoría: Todas las categorías

Semana,Ansiedad: (Eslovaquia)
2023-01-01,79
2023-01-08,84
2023-01-15,72
2023-01-22,73
2023-01-29,74
2023-02-05,77
2023-02-12,68
2023-02-19,81
2023-02-26,80
2023-03-05,85
2023-03-12,93
2023-03-19,86
2023-03-26,74
2023-04-02,80
2023-04-09,80
2023-04-16,79
2023-04-23,76
2023-04-30,69
2023-05-07,69
2023-05-14,74
2023-05-21,77
2023-05-28,68
2023-06-04,68
2023-06-11,75
2023-06-18,72
2023-06-25,63
2023-07-02,66
2023-07-09,79
2023-07-16,76
2023-07-23,80
2023-07-30,69
2023-08-06,71
2023-08-13,85
2023-08-20,84
2023-08-27,63
2023-09-03,69
2023-09-10,71
2023-09-17,59
2023-09-24,84
2023-10-01,66
2023-10-08,79
2023-10-15,68
2023-10-22,77
2023-10-29,85
2023-11-05,83
2023-11-12,64
2023-11-19,71
2023-11-26,65
2023-12-03,82
2023-12-10,65
2023-12-17,55
2023-12-24,75
2023-12-31,100
