Categoría: Todas las categorías

Mes,Ansiedad: (Austria)
2010-01,29
2010-02,28
2010-03,27
2010-04,30
2010-05,27
2010-06,25
2010-07,23
2010-08,28
2010-09,28
2010-10,26
2010-11,32
2010-12,27
2011-01,36
2011-02,29
2011-03,31
2011-04,32
2011-05,30
2011-06,30
2011-07,28
2011-08,33
2011-09,32
2011-10,35
2011-11,35
2011-12,29
2012-01,30
2012-02,33
2012-03,36
2012-04,37
2012-05,35
2012-06,38
2012-07,33
2012-08,33
2012-09,35
2012-10,37
2012-11,43
2012-12,40
2013-01,35
2013-02,35
2013-03,36
2013-04,37
2013-05,37
2013-06,36
2013-07,37
2013-08,40
2013-09,39
2013-10,40
2013-11,39
2013-12,34
2014-01,41
2014-02,39
2014-03,37
2014-04,37
2014-05,38
2014-06,42
2014-07,36
2014-08,40
2014-09,42
2014-10,40
2014-11,40
2014-12,41
2015-01,45
2015-02,41
2015-03,41
2015-04,42
2015-05,44
2015-06,47
2015-07,41
2015-08,43
2015-09,44
2015-10,45
2015-11,48
2015-12,46
2016-01,45
2016-02,44
2016-03,43
2016-04,44
2016-05,47
2016-06,44
2016-07,43
2016-08,45
2016-09,44
2016-10,39
2016-11,74
2016-12,72
2017-01,80
2017-02,75
2017-03,76
2017-04,78
2017-05,78
2017-06,75
2017-07,76
2017-08,74
2017-09,72
2017-10,70
2017-11,80
2017-12,72
2018-01,82
2018-02,70
2018-03,72
2018-04,77
2018-05,73
2018-06,73
2018-07,68
2018-08,66
2018-09,77
2018-10,75
2018-11,80
2018-12,73
2019-01,79
2019-02,77
2019-03,79
2019-04,73
2019-05,71
2019-06,67
2019-07,71
2019-08,70
2019-09,74
2019-10,79
2019-11,84
2019-12,76
2020-01,81
2020-02,79
2020-03,93
2020-04,84
2020-05,78
2020-06,75
2020-07,74
2020-08,77
2020-09,80
2020-10,76
2020-11,84
2020-12,80
2021-01,83
2021-02,75
2021-03,80
2021-04,85
2021-05,81
2021-06,69
2021-07,70
2021-08,69
2021-09,75
2021-10,72
2021-11,70
2021-12,76
2022-01,85
2022-02,83
2022-03,100
2022-04,83
2022-05,77
2022-06,78
2022-07,73
2022-08,75
2022-09,85
2022-10,77
2022-11,79
2022-12,80
2023-01,87
2023-02,82
2023-03,85
2023-04,86
2023-05,83
2023-06,75
2023-07,77
2023-08,74
2023-09,84
2023-10,84
2023-11,85
2023-12,88
2024-01,84
2024-02,73
2024-03,72
2024-04,74
2024-05,70
