Categoría: Todas las categorías

Mes,Ansiedad: (Lituania)
2010-01,71
2010-02,71
2010-03,63
2010-04,56
2010-05,63
2010-06,41
2010-07,54
2010-08,47
2010-09,39
2010-10,42
2010-11,69
2010-12,47
2011-01,66
2011-02,58
2011-03,54
2011-04,57
2011-05,59
2011-06,56
2011-07,38
2011-08,44
2011-09,44
2011-10,45
2011-11,70
2011-12,51
2012-01,54
2012-02,61
2012-03,67
2012-04,55
2012-05,46
2012-06,46
2012-07,40
2012-08,46
2012-09,47
2012-10,47
2012-11,55
2012-12,58
2013-01,63
2013-02,55
2013-03,51
2013-04,60
2013-05,44
2013-06,43
2013-07,37
2013-08,48
2013-09,45
2013-10,37
2013-11,53
2013-12,48
2014-01,55
2014-02,54
2014-03,48
2014-04,50
2014-05,42
2014-06,37
2014-07,43
2014-08,35
2014-09,42
2014-10,49
2014-11,57
2014-12,45
2015-01,56
2015-02,54
2015-03,47
2015-04,46
2015-05,45
2015-06,51
2015-07,43
2015-08,48
2015-09,53
2015-10,61
2015-11,69
2015-12,59
2016-01,70
2016-02,70
2016-03,54
2016-04,66
2016-05,55
2016-06,60
2016-07,48
2016-08,47
2016-09,59
2016-10,59
2016-11,61
2016-12,53
2017-01,50
2017-02,45
2017-03,53
2017-04,52
2017-05,53
2017-06,50
2017-07,48
2017-08,53
2017-09,35
2017-10,39
2017-11,44
2017-12,39
2018-01,37
2018-02,49
2018-03,49
2018-04,45
2018-05,46
2018-06,56
2018-07,54
2018-08,61
2018-09,61
2018-10,59
2018-11,74
2018-12,66
2019-01,69
2019-02,60
2019-03,61
2019-04,58
2019-05,61
2019-06,57
2019-07,54
2019-08,77
2019-09,70
2019-10,74
2019-11,70
2019-12,62
2020-01,68
2020-02,57
2020-03,51
2020-04,61
2020-05,61
2020-06,55
2020-07,59
2020-08,62
2020-09,68
2020-10,59
2020-11,71
2020-12,66
2021-01,74
2021-02,75
2021-03,71
2021-04,64
2021-05,69
2021-06,62
2021-07,67
2021-08,64
2021-09,66
2021-10,74
2021-11,77
2021-12,78
2022-01,78
2022-02,83
2022-03,83
2022-04,77
2022-05,73
2022-06,64
2022-07,64
2022-08,72
2022-09,66
2022-10,80
2022-11,89
2022-12,68
2023-01,100
2023-02,78
2023-03,87
2023-04,79
2023-05,83
2023-06,78
2023-07,79
2023-08,71
2023-09,80
2023-10,78
2023-11,96
2023-12,81
2024-01,92
2024-02,90
2024-03,93
2024-04,80
2024-05,74
