Categoría: Todas las categorías

Mes,Depresión: (Francia)
2010-01,69
2010-02,70
2010-03,72
2010-04,67
2010-05,70
2010-06,61
2010-07,55
2010-08,63
2010-09,66
2010-10,65
2010-11,69
2010-12,62
2011-01,77
2011-02,69
2011-03,74
2011-04,71
2011-05,75
2011-06,68
2011-07,67
2011-08,67
2011-09,68
2011-10,75
2011-11,81
2011-12,68
2012-01,78
2012-02,71
2012-03,84
2012-04,84
2012-05,80
2012-06,75
2012-07,72
2012-08,73
2012-09,77
2012-10,79
2012-11,80
2012-12,68
2013-01,79
2013-02,69
2013-03,77
2013-04,75
2013-05,74
2013-06,74
2013-07,66
2013-08,71
2013-09,70
2013-10,74
2013-11,81
2013-12,71
2014-01,84
2014-02,82
2014-03,81
2014-04,82
2014-05,81
2014-06,77
2014-07,77
2014-08,85
2014-09,86
2014-10,81
2014-11,88
2014-12,87
2015-01,83
2015-02,85
2015-03,100
2015-04,89
2015-05,84
2015-06,84
2015-07,80
2015-08,91
2015-09,84
2015-10,82
2015-11,81
2015-12,80
2016-01,95
2016-02,96
2016-03,93
2016-04,84
2016-05,98
2016-06,84
2016-07,79
2016-08,82
2016-09,92
2016-10,91
2016-11,15
2016-12,9
2017-01,10
2017-02,11
2017-03,10
2017-04,11
2017-05,10
2017-06,8
2017-07,11
2017-08,11
2017-09,10
2017-10,10
2017-11,11
2017-12,12
2018-01,12
2018-02,13
2018-03,19
2018-04,18
2018-05,21
2018-06,21
2018-07,21
2018-08,20
2018-09,18
2018-10,20
2018-11,22
2018-12,22
2019-01,24
2019-02,24
2019-03,24
2019-04,24
2019-05,24
2019-06,21
2019-07,24
2019-08,21
2019-09,15
2019-10,14
2019-11,16
2019-12,14
2020-01,14
2020-02,13
2020-03,11
2020-04,12
2020-05,14
2020-06,13
2020-07,14
2020-08,15
2020-09,14
2020-10,13
2020-11,18
2020-12,16
2021-01,17
2021-02,18
2021-03,19
2021-04,18
2021-05,25
2021-06,31
2021-07,28
2021-08,30
2021-09,30
2021-10,28
2021-11,29
2021-12,28
2022-01,26
2022-02,26
2022-03,26
2022-04,23
2022-05,20
2022-06,23
2022-07,24
2022-08,25
2022-09,22
2022-10,27
2022-11,28
2022-12,25
2023-01,30
2023-02,28
2023-03,62
2023-04,68
2023-05,64
2023-06,56
2023-07,53
2023-08,89
2023-09,44
2023-10,61
2023-11,88
2023-12,71
2024-01,87
2024-02,76
2024-03,68
2024-04,69
2024-05,73
