Categoría: Todas las categorías

Mes,Depresión: (Irlanda)
2010-01,68
2010-02,64
2010-03,68
2010-04,64
2010-05,67
2010-06,46
2010-07,52
2010-08,60
2010-09,57
2010-10,69
2010-11,66
2010-12,55
2011-01,65
2011-02,69
2011-03,68
2011-04,80
2011-05,69
2011-06,58
2011-07,62
2011-08,64
2011-09,65
2011-10,71
2011-11,86
2011-12,72
2012-01,80
2012-02,78
2012-03,78
2012-04,80
2012-05,74
2012-06,71
2012-07,66
2012-08,70
2012-09,73
2012-10,64
2012-11,77
2012-12,72
2013-01,82
2013-02,92
2013-03,83
2013-04,85
2013-05,81
2013-06,70
2013-07,65
2013-08,65
2013-09,73
2013-10,90
2013-11,98
2013-12,86
2014-01,87
2014-02,79
2014-03,84
2014-04,83
2014-05,79
2014-06,65
2014-07,66
2014-08,78
2014-09,70
2014-10,81
2014-11,94
2014-12,82
2015-01,86
2015-02,81
2015-03,87
2015-04,77
2015-05,77
2015-06,75
2015-07,82
2015-08,83
2015-09,87
2015-10,96
2015-11,95
2015-12,93
2016-01,90
2016-02,88
2016-03,91
2016-04,99
2016-05,88
2016-06,74
2016-07,76
2016-08,72
2016-09,82
2016-10,92
2016-11,98
2016-12,95
2017-01,91
2017-02,92
2017-03,90
2017-04,95
2017-05,87
2017-06,77
2017-07,83
2017-08,83
2017-09,79
2017-10,92
2017-11,86
2017-12,88
2018-01,92
2018-02,85
2018-03,93
2018-04,96
2018-05,87
2018-06,82
2018-07,79
2018-08,82
2018-09,79
2018-10,91
2018-11,89
2018-12,95
2019-01,97
2019-02,95
2019-03,100
2019-04,89
2019-05,83
2019-06,76
2019-07,74
2019-08,75
2019-09,74
2019-10,76
2019-11,74
2019-12,72
2020-01,76
2020-02,75
2020-03,52
2020-04,63
2020-05,69
2020-06,66
2020-07,71
2020-08,68
2020-09,68
2020-10,66
2020-11,71
2020-12,67
2021-01,73
2021-02,73
2021-03,78
2021-04,72
2021-05,68
2021-06,59
2021-07,55
2021-08,65
2021-09,62
2021-10,62
2021-11,64
2021-12,66
2022-01,71
2022-02,64
2022-03,68
2022-04,73
2022-05,62
2022-06,59
2022-07,61
2022-08,63
2022-09,60
2022-10,71
2022-11,75
2022-12,64
2023-01,74
2023-02,70
2023-03,70
2023-04,68
2023-05,64
2023-06,57
2023-07,54
2023-08,57
2023-09,61
2023-10,63
2023-11,63
2023-12,59
2024-01,59
2024-02,60
2024-03,59
2024-04,63
2024-05,57
