Categoría: Salud

Mes,Depresión: (Malta)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,44
2011-02,63
2011-03,0
2011-04,0
2011-05,70
2011-06,0
2011-07,41
2011-08,45
2011-09,47
2011-10,43
2011-11,42
2011-12,48
2012-01,0
2012-02,39
2012-03,0
2012-04,47
2012-05,34
2012-06,56
2012-07,43
2012-08,50
2012-09,42
2012-10,31
2012-11,58
2012-12,32
2013-01,49
2013-02,37
2013-03,30
2013-04,0
2013-05,47
2013-06,0
2013-07,0
2013-08,0
2013-09,36
2013-10,36
2013-11,57
2013-12,40
2014-01,53
2014-02,0
2014-03,36
2014-04,55
2014-05,50
2014-06,0
2014-07,50
2014-08,43
2014-09,36
2014-10,27
2014-11,29
2014-12,51
2015-01,44
2015-02,0
2015-03,25
2015-04,40
2015-05,35
2015-06,56
2015-07,52
2015-08,39
2015-09,23
2015-10,58
2015-11,38
2015-12,51
2016-01,40
2016-02,59
2016-03,48
2016-04,52
2016-05,41
2016-06,28
2016-07,33
2016-08,49
2016-09,77
2016-10,59
2016-11,64
2016-12,57
2017-01,68
2017-02,58
2017-03,0
2017-04,51
2017-05,52
2017-06,32
2017-07,42
2017-08,61
2017-09,58
2017-10,43
2017-11,39
2017-12,47
2018-01,59
2018-02,53
2018-03,54
2018-04,60
2018-05,49
2018-06,36
2018-07,44
2018-08,53
2018-09,55
2018-10,41
2018-11,60
2018-12,62
2019-01,56
2019-02,72
2019-03,68
2019-04,38
2019-05,68
2019-06,62
2019-07,0
2019-08,39
2019-09,43
2019-10,47
2019-11,68
2019-12,0
2020-01,61
2020-02,62
2020-03,39
2020-04,51
2020-05,43
2020-06,100
2020-07,51
2020-08,41
2020-09,42
2020-10,45
2020-11,52
2020-12,56
2021-01,78
2021-02,65
2021-03,68
2021-04,48
2021-05,0
2021-06,34
2021-07,0
2021-08,59
2021-09,0
2021-10,42
2021-11,75
2021-12,0
2022-01,40
2022-02,58
2022-03,58
2022-04,31
2022-05,64
2022-06,54
2022-07,59
2022-08,54
2022-09,50
2022-10,47
2022-11,45
2022-12,42
2023-01,44
2023-02,53
2023-03,42
2023-04,48
2023-05,0
2023-06,47
2023-07,39
2023-08,63
2023-09,36
2023-10,54
2023-11,33
2023-12,54
2024-01,49
2024-02,54
2024-03,47
2024-04,61
2024-05,28
