Categoría: Todas las categorías

Mes,Psicoterapia: (Austria)
2010-01,49
2010-02,51
2010-03,47
2010-04,56
2010-05,51
2010-06,51
2010-07,47
2010-08,48
2010-09,55
2010-10,58
2010-11,55
2010-12,39
2011-01,52
2011-02,51
2011-03,48
2011-04,47
2011-05,49
2011-06,46
2011-07,43
2011-08,46
2011-09,54
2011-10,52
2011-11,54
2011-12,44
2012-01,55
2012-02,57
2012-03,49
2012-04,45
2012-05,48
2012-06,46
2012-07,46
2012-08,41
2012-09,47
2012-10,49
2012-11,50
2012-12,37
2013-01,49
2013-02,48
2013-03,49
2013-04,47
2013-05,49
2013-06,46
2013-07,46
2013-08,46
2013-09,51
2013-10,56
2013-11,52
2013-12,41
2014-01,53
2014-02,54
2014-03,53
2014-04,48
2014-05,48
2014-06,47
2014-07,45
2014-08,43
2014-09,52
2014-10,53
2014-11,54
2014-12,42
2015-01,50
2015-02,52
2015-03,56
2015-04,48
2015-05,48
2015-06,48
2015-07,45
2015-08,41
2015-09,44
2015-10,55
2015-11,52
2015-12,46
2016-01,56
2016-02,52
2016-03,57
2016-04,53
2016-05,48
2016-06,47
2016-07,43
2016-08,43
2016-09,54
2016-10,51
2016-11,53
2016-12,41
2017-01,56
2017-02,55
2017-03,53
2017-04,49
2017-05,49
2017-06,45
2017-07,43
2017-08,38
2017-09,46
2017-10,53
2017-11,54
2017-12,41
2018-01,55
2018-02,54
2018-03,53
2018-04,54
2018-05,51
2018-06,54
2018-07,42
2018-08,45
2018-09,56
2018-10,63
2018-11,63
2018-12,50
2019-01,68
2019-02,68
2019-03,71
2019-04,59
2019-05,65
2019-06,55
2019-07,55
2019-08,50
2019-09,62
2019-10,70
2019-11,69
2019-12,51
2020-01,73
2020-02,65
2020-03,49
2020-04,49
2020-05,64
2020-06,71
2020-07,65
2020-08,68
2020-09,75
2020-10,73
2020-11,70
2020-12,62
2021-01,71
2021-02,77
2021-03,73
2021-04,83
2021-05,76
2021-06,69
2021-07,69
2021-08,68
2021-09,79
2021-10,77
2021-11,74
2021-12,68
2022-01,85
2022-02,85
2022-03,84
2022-04,83
2022-05,79
2022-06,72
2022-07,64
2022-08,68
2022-09,78
2022-10,80
2022-11,82
2022-12,70
2023-01,92
2023-02,86
2023-03,89
2023-04,86
2023-05,82
2023-06,79
2023-07,72
2023-08,73
2023-09,90
2023-10,90
2023-11,84
2023-12,70
2024-01,100
2024-02,89
2024-03,82
2024-04,85
2024-05,75
