Categoría: Todas las categorías

Mes,Psicoterapia: (Francia)
2010-01,72
2010-02,77
2010-03,81
2010-04,68
2010-05,77
2010-06,90
2010-07,67
2010-08,61
2010-09,79
2010-10,75
2010-11,73
2010-12,60
2011-01,72
2011-02,75
2011-03,71
2011-04,69
2011-05,85
2011-06,86
2011-07,68
2011-08,63
2011-09,72
2011-10,75
2011-11,80
2011-12,57
2012-01,79
2012-02,70
2012-03,74
2012-04,68
2012-05,70
2012-06,70
2012-07,59
2012-08,71
2012-09,82
2012-10,70
2012-11,66
2012-12,53
2013-01,70
2013-02,67
2013-03,65
2013-04,64
2013-05,60
2013-06,58
2013-07,57
2013-08,54
2013-09,80
2013-10,74
2013-11,77
2013-12,57
2014-01,79
2014-02,67
2014-03,76
2014-04,65
2014-05,65
2014-06,64
2014-07,55
2014-08,55
2014-09,77
2014-10,74
2014-11,72
2014-12,58
2015-01,70
2015-02,78
2015-03,73
2015-04,65
2015-05,62
2015-06,63
2015-07,54
2015-08,61
2015-09,78
2015-10,73
2015-11,74
2015-12,57
2016-01,76
2016-02,81
2016-03,81
2016-04,73
2016-05,67
2016-06,76
2016-07,56
2016-08,58
2016-09,82
2016-10,71
2016-11,77
2016-12,67
2017-01,87
2017-02,82
2017-03,92
2017-04,75
2017-05,79
2017-06,77
2017-07,77
2017-08,70
2017-09,91
2017-10,84
2017-11,80
2017-12,66
2018-01,91
2018-02,81
2018-03,82
2018-04,73
2018-05,72
2018-06,75
2018-07,63
2018-08,73
2018-09,81
2018-10,85
2018-11,83
2018-12,73
2019-01,91
2019-02,87
2019-03,95
2019-04,87
2019-05,82
2019-06,79
2019-07,75
2019-08,77
2019-09,95
2019-10,95
2019-11,90
2019-12,78
2020-01,95
2020-02,89
2020-03,59
2020-04,56
2020-05,72
2020-06,85
2020-07,76
2020-08,80
2020-09,93
2020-10,79
2020-11,80
2020-12,73
2021-01,89
2021-02,98
2021-03,99
2021-04,89
2021-05,87
2021-06,85
2021-07,71
2021-08,74
2021-09,92
2021-10,91
2021-11,91
2021-12,69
2022-01,94
2022-02,100
2022-03,99
2022-04,99
2022-05,96
2022-06,85
2022-07,71
2022-08,75
2022-09,86
2022-10,88
2022-11,86
2022-12,76
2023-01,91
2023-02,88
2023-03,95
2023-04,96
2023-05,94
2023-06,86
2023-07,77
2023-08,80
2023-09,91
2023-10,96
2023-11,57
2023-12,36
2024-01,45
2024-02,38
2024-03,40
2024-04,33
2024-05,32
