Categoría: Todas las categorías

Mes,Psicoterapia: (Portugal)
2010-01,41
2010-02,56
2010-03,62
2010-04,58
2010-05,58
2010-06,71
2010-07,53
2010-08,43
2010-09,49
2010-10,49
2010-11,64
2010-12,68
2011-01,55
2011-02,53
2011-03,49
2011-04,39
2011-05,53
2011-06,40
2011-07,39
2011-08,35
2011-09,47
2011-10,56
2011-11,54
2011-12,43
2012-01,51
2012-02,43
2012-03,53
2012-04,53
2012-05,59
2012-06,43
2012-07,49
2012-08,40
2012-09,50
2012-10,45
2012-11,49
2012-12,42
2013-01,47
2013-02,45
2013-03,44
2013-04,41
2013-05,49
2013-06,34
2013-07,37
2013-08,35
2013-09,47
2013-10,49
2013-11,47
2013-12,32
2014-01,36
2014-02,48
2014-03,51
2014-04,40
2014-05,54
2014-06,47
2014-07,35
2014-08,39
2014-09,60
2014-10,50
2014-11,50
2014-12,46
2015-01,45
2015-02,48
2015-03,54
2015-04,49
2015-05,49
2015-06,47
2015-07,46
2015-08,43
2015-09,52
2015-10,57
2015-11,57
2015-12,47
2016-01,62
2016-02,56
2016-03,70
2016-04,69
2016-05,59
2016-06,50
2016-07,43
2016-08,40
2016-09,49
2016-10,58
2016-11,56
2016-12,37
2017-01,62
2017-02,55
2017-03,63
2017-04,72
2017-05,76
2017-06,53
2017-07,49
2017-08,49
2017-09,55
2017-10,63
2017-11,50
2017-12,33
2018-01,59
2018-02,71
2018-03,52
2018-04,53
2018-05,57
2018-06,58
2018-07,55
2018-08,56
2018-09,71
2018-10,68
2018-11,77
2018-12,49
2019-01,78
2019-02,68
2019-03,67
2019-04,68
2019-05,84
2019-06,66
2019-07,52
2019-08,55
2019-09,67
2019-10,77
2019-11,76
2019-12,72
2020-01,73
2020-02,69
2020-03,43
2020-04,45
2020-05,53
2020-06,69
2020-07,76
2020-08,80
2020-09,79
2020-10,58
2020-11,73
2020-12,65
2021-01,61
2021-02,64
2021-03,66
2021-04,82
2021-05,72
2021-06,64
2021-07,59
2021-08,65
2021-09,82
2021-10,100
2021-11,75
2021-12,68
2022-01,89
2022-02,86
2022-03,86
2022-04,88
2022-05,82
2022-06,71
2022-07,63
2022-08,56
2022-09,75
2022-10,80
2022-11,81
2022-12,61
2023-01,91
2023-02,74
2023-03,72
2023-04,82
2023-05,76
2023-06,74
2023-07,76
2023-08,65
2023-09,74
2023-10,84
2023-11,77
2023-12,64
2024-01,81
2024-02,86
2024-03,75
2024-04,83
2024-05,75
