Categoría: Salud

Mes,Psicólogo: (Bélgica)
2010-01,25
2010-02,17
2010-03,33
2010-04,16
2010-05,26
2010-06,30
2010-07,19
2010-08,28
2010-09,24
2010-10,27
2010-11,18
2010-12,16
2011-01,32
2011-02,29
2011-03,31
2011-04,23
2011-05,29
2011-06,24
2011-07,14
2011-08,29
2011-09,30
2011-10,27
2011-11,28
2011-12,20
2012-01,29
2012-02,23
2012-03,29
2012-04,25
2012-05,26
2012-06,27
2012-07,21
2012-08,30
2012-09,32
2012-10,32
2012-11,25
2012-12,24
2013-01,35
2013-02,36
2013-03,29
2013-04,29
2013-05,25
2013-06,31
2013-07,33
2013-08,25
2013-09,35
2013-10,32
2013-11,31
2013-12,32
2014-01,37
2014-02,39
2014-03,33
2014-04,28
2014-05,36
2014-06,29
2014-07,31
2014-08,23
2014-09,33
2014-10,38
2014-11,31
2014-12,33
2015-01,29
2015-02,37
2015-03,35
2015-04,33
2015-05,39
2015-06,38
2015-07,27
2015-08,27
2015-09,43
2015-10,30
2015-11,29
2015-12,24
2016-01,36
2016-02,35
2016-03,39
2016-04,38
2016-05,35
2016-06,34
2016-07,27
2016-08,38
2016-09,39
2016-10,39
2016-11,48
2016-12,47
2017-01,49
2017-02,53
2017-03,47
2017-04,33
2017-05,46
2017-06,45
2017-07,31
2017-08,42
2017-09,46
2017-10,51
2017-11,47
2017-12,44
2018-01,51
2018-02,47
2018-03,52
2018-04,48
2018-05,45
2018-06,44
2018-07,42
2018-08,39
2018-09,49
2018-10,52
2018-11,53
2018-12,40
2019-01,51
2019-02,60
2019-03,47
2019-04,48
2019-05,52
2019-06,51
2019-07,42
2019-08,45
2019-09,65
2019-10,57
2019-11,57
2019-12,47
2020-01,65
2020-02,60
2020-03,39
2020-04,33
2020-05,52
2020-06,49
2020-07,57
2020-08,49
2020-09,59
2020-10,59
2020-11,57
2020-12,53
2021-01,68
2021-02,58
2021-03,66
2021-04,55
2021-05,57
2021-06,57
2021-07,51
2021-08,58
2021-09,62
2021-10,74
2021-11,59
2021-12,60
2022-01,73
2022-02,83
2022-03,81
2022-04,74
2022-05,82
2022-06,64
2022-07,55
2022-08,61
2022-09,74
2022-10,80
2022-11,81
2022-12,63
2023-01,80
2023-02,84
2023-03,80
2023-04,67
2023-05,74
2023-06,70
2023-07,66
2023-08,68
2023-09,82
2023-10,76
2023-11,84
2023-12,60
2024-01,78
2024-02,100
2024-03,91
2024-04,78
2024-05,64
