Categoría: Salud

Mes,Psicólogo: (Chipre)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,83
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,100
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,67
2015-04,0
2015-05,0
2015-06,62
2015-07,0
2015-08,0
2015-09,0
2015-10,58
2015-11,0
2015-12,59
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,75
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,68
2019-07,67
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,82
2020-03,0
2020-04,0
2020-05,51
2020-06,0
2020-07,53
2020-08,0
2020-09,66
2020-10,0
2020-11,0
2020-12,70
2021-01,0
2021-02,95
2021-03,57
2021-04,52
2021-05,58
2021-06,58
2021-07,65
2021-08,54
2021-09,65
2021-10,89
2021-11,59
2021-12,48
2022-01,81
2022-02,0
2022-03,60
2022-04,89
2022-05,57
2022-06,56
2022-07,67
2022-08,0
2022-09,63
2022-10,71
2022-11,82
2022-12,42
2023-01,55
2023-02,76
2023-03,60
2023-04,68
2023-05,74
2023-06,53
2023-07,62
2023-08,43
2023-09,0
2023-10,55
2023-11,46
2023-12,69
2024-01,81
2024-02,98
2024-03,79
2024-04,0
2024-05,56
