Categoría: Salud

Mes,Psicólogo: (Grecia)
2010-01,25
2010-02,0
2010-03,21
2010-04,23
2010-05,24
2010-06,0
2010-07,27
2010-08,32
2010-09,33
2010-10,28
2010-11,33
2010-12,25
2011-01,35
2011-02,26
2011-03,25
2011-04,24
2011-05,31
2011-06,22
2011-07,27
2011-08,36
2011-09,33
2011-10,26
2011-11,26
2011-12,21
2012-01,25
2012-02,23
2012-03,25
2012-04,28
2012-05,28
2012-06,32
2012-07,25
2012-08,25
2012-09,35
2012-10,36
2012-11,31
2012-12,28
2013-01,34
2013-02,34
2013-03,34
2013-04,36
2013-05,34
2013-06,28
2013-07,31
2013-08,34
2013-09,37
2013-10,42
2013-11,37
2013-12,38
2014-01,41
2014-02,47
2014-03,45
2014-04,37
2014-05,32
2014-06,35
2014-07,40
2014-08,33
2014-09,47
2014-10,45
2014-11,44
2014-12,43
2015-01,43
2015-02,50
2015-03,49
2015-04,47
2015-05,46
2015-06,49
2015-07,34
2015-08,38
2015-09,50
2015-10,56
2015-11,50
2015-12,42
2016-01,47
2016-02,50
2016-03,49
2016-04,42
2016-05,39
2016-06,40
2016-07,42
2016-08,42
2016-09,51
2016-10,40
2016-11,11
2016-12,4
2017-01,0
2017-02,0
2017-03,4
2017-04,0
2017-05,0
2017-06,0
2017-07,4
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,4
2018-02,0
2018-03,16
2018-04,16
2018-05,24
2018-06,18
2018-07,15
2018-08,13
2018-09,17
2018-10,19
2018-11,35
2018-12,26
2019-01,40
2019-02,53
2019-03,44
2019-04,42
2019-05,48
2019-06,42
2019-07,44
2019-08,36
2019-09,50
2019-10,55
2019-11,52
2019-12,43
2020-01,51
2020-02,56
2020-03,37
2020-04,29
2020-05,52
2020-06,55
2020-07,51
2020-08,48
2020-09,58
2020-10,53
2020-11,41
2020-12,44
2021-01,62
2021-02,58
2021-03,61
2021-04,63
2021-05,71
2021-06,71
2021-07,64
2021-08,57
2021-09,61
2021-10,70
2021-11,72
2021-12,59
2022-01,78
2022-02,68
2022-03,80
2022-04,67
2022-05,75
2022-06,63
2022-07,56
2022-08,66
2022-09,76
2022-10,79
2022-11,78
2022-12,68
2023-01,95
2023-02,76
2023-03,79
2023-04,71
2023-05,69
2023-06,66
2023-07,58
2023-08,59
2023-09,74
2023-10,69
2023-11,82
2023-12,67
2024-01,75
2024-02,98
2024-03,100
2024-04,92
2024-05,85
