Categoría: Salud

Mes,Psicólogo: (Irlanda)
2010-01,0
2010-02,52
2010-03,50
2010-04,0
2010-05,0
2010-06,58
2010-07,38
2010-08,0
2010-09,41
2010-10,37
2010-11,0
2010-12,0
2011-01,30
2011-02,29
2011-03,38
2011-04,26
2011-05,30
2011-06,35
2011-07,33
2011-08,29
2011-09,54
2011-10,28
2011-11,24
2011-12,27
2012-01,36
2012-02,52
2012-03,0
2012-04,33
2012-05,27
2012-06,54
2012-07,39
2012-08,30
2012-09,38
2012-10,41
2012-11,29
2012-12,30
2013-01,36
2013-02,48
2013-03,42
2013-04,31
2013-05,49
2013-06,37
2013-07,33
2013-08,44
2013-09,40
2013-10,35
2013-11,42
2013-12,38
2014-01,46
2014-02,49
2014-03,49
2014-04,33
2014-05,45
2014-06,42
2014-07,30
2014-08,40
2014-09,38
2014-10,46
2014-11,37
2014-12,21
2015-01,34
2015-02,33
2015-03,35
2015-04,41
2015-05,37
2015-06,43
2015-07,30
2015-08,42
2015-09,50
2015-10,55
2015-11,54
2015-12,36
2016-01,53
2016-02,65
2016-03,43
2016-04,47
2016-05,37
2016-06,37
2016-07,37
2016-08,49
2016-09,63
2016-10,58
2016-11,41
2016-12,44
2017-01,45
2017-02,52
2017-03,58
2017-04,48
2017-05,63
2017-06,64
2017-07,38
2017-08,35
2017-09,75
2017-10,46
2017-11,63
2017-12,42
2018-01,52
2018-02,64
2018-03,61
2018-04,61
2018-05,58
2018-06,45
2018-07,54
2018-08,55
2018-09,49
2018-10,73
2018-11,77
2018-12,45
2019-01,80
2019-02,61
2019-03,68
2019-04,56
2019-05,50
2019-06,51
2019-07,49
2019-08,47
2019-09,61
2019-10,66
2019-11,55
2019-12,56
2020-01,76
2020-02,55
2020-03,44
2020-04,35
2020-05,56
2020-06,56
2020-07,46
2020-08,44
2020-09,78
2020-10,46
2020-11,57
2020-12,39
2021-01,37
2021-02,82
2021-03,70
2021-04,79
2021-05,73
2021-06,57
2021-07,52
2021-08,61
2021-09,68
2021-10,64
2021-11,79
2021-12,59
2022-01,83
2022-02,90
2022-03,75
2022-04,77
2022-05,100
2022-06,69
2022-07,66
2022-08,57
2022-09,71
2022-10,75
2022-11,84
2022-12,50
2023-01,81
2023-02,81
2023-03,98
2023-04,72
2023-05,62
2023-06,47
2023-07,54
2023-08,61
2023-09,70
2023-10,77
2023-11,61
2023-12,57
2024-01,76
2024-02,81
2024-03,51
2024-04,64
2024-05,65
