Categoría: Salud

Mes,Psicólogo: (Países Bajos)
2010-01,63
2010-02,62
2010-03,74
2010-04,67
2010-05,59
2010-06,64
2010-07,63
2010-08,61
2010-09,69
2010-10,68
2010-11,81
2010-12,60
2011-01,68
2011-02,78
2011-03,73
2011-04,72
2011-05,74
2011-06,57
2011-07,55
2011-08,65
2011-09,76
2011-10,71
2011-11,82
2011-12,60
2012-01,68
2012-02,66
2012-03,60
2012-04,62
2012-05,62
2012-06,65
2012-07,52
2012-08,61
2012-09,64
2012-10,66
2012-11,69
2012-12,68
2013-01,76
2013-02,70
2013-03,71
2013-04,63
2013-05,69
2013-06,61
2013-07,59
2013-08,66
2013-09,69
2013-10,69
2013-11,82
2013-12,61
2014-01,84
2014-02,72
2014-03,64
2014-04,59
2014-05,60
2014-06,66
2014-07,61
2014-08,52
2014-09,66
2014-10,70
2014-11,73
2014-12,60
2015-01,70
2015-02,59
2015-03,64
2015-04,68
2015-05,56
2015-06,62
2015-07,62
2015-08,51
2015-09,65
2015-10,67
2015-11,72
2015-12,60
2016-01,69
2016-02,63
2016-03,74
2016-04,67
2016-05,56
2016-06,72
2016-07,59
2016-08,58
2016-09,77
2016-10,68
2016-11,78
2016-12,71
2017-01,69
2017-02,80
2017-03,77
2017-04,77
2017-05,82
2017-06,79
2017-07,70
2017-08,81
2017-09,76
2017-10,84
2017-11,90
2017-12,69
2018-01,93
2018-02,77
2018-03,82
2018-04,76
2018-05,79
2018-06,83
2018-07,73
2018-08,75
2018-09,85
2018-10,81
2018-11,84
2018-12,72
2019-01,88
2019-02,86
2019-03,93
2019-04,89
2019-05,80
2019-06,69
2019-07,68
2019-08,69
2019-09,85
2019-10,84
2019-11,83
2019-12,66
2020-01,94
2020-02,88
2020-03,56
2020-04,61
2020-05,63
2020-06,78
2020-07,71
2020-08,67
2020-09,74
2020-10,74
2020-11,81
2020-12,70
2021-01,75
2021-02,75
2021-03,80
2021-04,71
2021-05,71
2021-06,72
2021-07,65
2021-08,64
2021-09,77
2021-10,80
2021-11,78
2021-12,76
2022-01,90
2022-02,86
2022-03,96
2022-04,84
2022-05,80
2022-06,85
2022-07,71
2022-08,73
2022-09,87
2022-10,92
2022-11,89
2022-12,89
2023-01,100
2023-02,93
2023-03,99
2023-04,79
2023-05,78
2023-06,81
2023-07,76
2023-08,78
2023-09,82
2023-10,76
2023-11,79
2023-12,77
2024-01,98
2024-02,100
2024-03,76
2024-04,87
2024-05,68
