Fecha,Palabra Clave,Puntuación,País,Código Google Trend,Created_at
Categoría: Todas las categorías,Ansiedad,,Austria,AT,23/05/2024
Mes,Ansiedad,Ansiedad: (Austria),Austria,AT,23/05/2024
2010-01,Ansiedad,29,Austria,AT,23/05/2024
2010-02,Ansiedad,28,Austria,AT,23/05/2024
2010-03,Ansiedad,27,Austria,AT,23/05/2024
2010-04,Ansiedad,30,Austria,AT,23/05/2024
2010-05,Ansiedad,27,Austria,AT,23/05/2024
2010-06,Ansiedad,25,Austria,AT,23/05/2024
2010-07,Ansiedad,23,Austria,AT,23/05/2024
2010-08,Ansiedad,28,Austria,AT,23/05/2024
2010-09,Ansiedad,28,Austria,AT,23/05/2024
2010-10,Ansiedad,26,Austria,AT,23/05/2024
2010-11,Ansiedad,32,Austria,AT,23/05/2024
2010-12,Ansiedad,27,Austria,AT,23/05/2024
2011-01,Ansiedad,36,Austria,AT,23/05/2024
2011-02,Ansiedad,29,Austria,AT,23/05/2024
2011-03,Ansiedad,31,Austria,AT,23/05/2024
2011-04,Ansiedad,32,Austria,AT,23/05/2024
2011-05,Ansiedad,30,Austria,AT,23/05/2024
2011-06,Ansiedad,30,Austria,AT,23/05/2024
2011-07,Ansiedad,28,Austria,AT,23/05/2024
2011-08,Ansiedad,33,Austria,AT,23/05/2024
2011-09,Ansiedad,32,Austria,AT,23/05/2024
2011-10,Ansiedad,35,Austria,AT,23/05/2024
2011-11,Ansiedad,35,Austria,AT,23/05/2024
2011-12,Ansiedad,29,Austria,AT,23/05/2024
2012-01,Ansiedad,30,Austria,AT,23/05/2024
2012-02,Ansiedad,33,Austria,AT,23/05/2024
2012-03,Ansiedad,36,Austria,AT,23/05/2024
2012-04,Ansiedad,37,Austria,AT,23/05/2024
2012-05,Ansiedad,35,Austria,AT,23/05/2024
2012-06,Ansiedad,38,Austria,AT,23/05/2024
2012-07,Ansiedad,33,Austria,AT,23/05/2024
2012-08,Ansiedad,33,Austria,AT,23/05/2024
2012-09,Ansiedad,35,Austria,AT,23/05/2024
2012-10,Ansiedad,37,Austria,AT,23/05/2024
2012-11,Ansiedad,43,Austria,AT,23/05/2024
2012-12,Ansiedad,40,Austria,AT,23/05/2024
2013-01,Ansiedad,35,Austria,AT,23/05/2024
2013-02,Ansiedad,35,Austria,AT,23/05/2024
2013-03,Ansiedad,36,Austria,AT,23/05/2024
2013-04,Ansiedad,37,Austria,AT,23/05/2024
2013-05,Ansiedad,37,Austria,AT,23/05/2024
2013-06,Ansiedad,36,Austria,AT,23/05/2024
2013-07,Ansiedad,37,Austria,AT,23/05/2024
2013-08,Ansiedad,40,Austria,AT,23/05/2024
2013-09,Ansiedad,39,Austria,AT,23/05/2024
2013-10,Ansiedad,40,Austria,AT,23/05/2024
2013-11,Ansiedad,39,Austria,AT,23/05/2024
2013-12,Ansiedad,34,Austria,AT,23/05/2024
2014-01,Ansiedad,41,Austria,AT,23/05/2024
2014-02,Ansiedad,39,Austria,AT,23/05/2024
2014-03,Ansiedad,37,Austria,AT,23/05/2024
2014-04,Ansiedad,37,Austria,AT,23/05/2024
2014-05,Ansiedad,38,Austria,AT,23/05/2024
2014-06,Ansiedad,42,Austria,AT,23/05/2024
2014-07,Ansiedad,36,Austria,AT,23/05/2024
2014-08,Ansiedad,40,Austria,AT,23/05/2024
2014-09,Ansiedad,42,Austria,AT,23/05/2024
2014-10,Ansiedad,40,Austria,AT,23/05/2024
2014-11,Ansiedad,40,Austria,AT,23/05/2024
2014-12,Ansiedad,41,Austria,AT,23/05/2024
2015-01,Ansiedad,45,Austria,AT,23/05/2024
2015-02,Ansiedad,41,Austria,AT,23/05/2024
2015-03,Ansiedad,41,Austria,AT,23/05/2024
2015-04,Ansiedad,42,Austria,AT,23/05/2024
2015-05,Ansiedad,44,Austria,AT,23/05/2024
2015-06,Ansiedad,47,Austria,AT,23/05/2024
2015-07,Ansiedad,41,Austria,AT,23/05/2024
2015-08,Ansiedad,43,Austria,AT,23/05/2024
2015-09,Ansiedad,44,Austria,AT,23/05/2024
2015-10,Ansiedad,45,Austria,AT,23/05/2024
2015-11,Ansiedad,48,Austria,AT,23/05/2024
2015-12,Ansiedad,46,Austria,AT,23/05/2024
2016-01,Ansiedad,45,Austria,AT,23/05/2024
2016-02,Ansiedad,44,Austria,AT,23/05/2024
2016-03,Ansiedad,43,Austria,AT,23/05/2024
2016-04,Ansiedad,44,Austria,AT,23/05/2024
2016-05,Ansiedad,47,Austria,AT,23/05/2024
2016-06,Ansiedad,44,Austria,AT,23/05/2024
2016-07,Ansiedad,43,Austria,AT,23/05/2024
2016-08,Ansiedad,45,Austria,AT,23/05/2024
2016-09,Ansiedad,44,Austria,AT,23/05/2024
2016-10,Ansiedad,39,Austria,AT,23/05/2024
2016-11,Ansiedad,74,Austria,AT,23/05/2024
2016-12,Ansiedad,72,Austria,AT,23/05/2024
2017-01,Ansiedad,80,Austria,AT,23/05/2024
2017-02,Ansiedad,75,Austria,AT,23/05/2024
2017-03,Ansiedad,76,Austria,AT,23/05/2024
2017-04,Ansiedad,78,Austria,AT,23/05/2024
2017-05,Ansiedad,78,Austria,AT,23/05/2024
2017-06,Ansiedad,75,Austria,AT,23/05/2024
2017-07,Ansiedad,76,Austria,AT,23/05/2024
2017-08,Ansiedad,74,Austria,AT,23/05/2024
2017-09,Ansiedad,72,Austria,AT,23/05/2024
2017-10,Ansiedad,70,Austria,AT,23/05/2024
2017-11,Ansiedad,80,Austria,AT,23/05/2024
2017-12,Ansiedad,72,Austria,AT,23/05/2024
2018-01,Ansiedad,82,Austria,AT,23/05/2024
2018-02,Ansiedad,70,Austria,AT,23/05/2024
2018-03,Ansiedad,72,Austria,AT,23/05/2024
2018-04,Ansiedad,77,Austria,AT,23/05/2024
2018-05,Ansiedad,73,Austria,AT,23/05/2024
2018-06,Ansiedad,73,Austria,AT,23/05/2024
2018-07,Ansiedad,68,Austria,AT,23/05/2024
2018-08,Ansiedad,66,Austria,AT,23/05/2024
2018-09,Ansiedad,77,Austria,AT,23/05/2024
2018-10,Ansiedad,75,Austria,AT,23/05/2024
2018-11,Ansiedad,80,Austria,AT,23/05/2024
2018-12,Ansiedad,73,Austria,AT,23/05/2024
2019-01,Ansiedad,79,Austria,AT,23/05/2024
2019-02,Ansiedad,77,Austria,AT,23/05/2024
2019-03,Ansiedad,79,Austria,AT,23/05/2024
2019-04,Ansiedad,73,Austria,AT,23/05/2024
2019-05,Ansiedad,71,Austria,AT,23/05/2024
2019-06,Ansiedad,67,Austria,AT,23/05/2024
2019-07,Ansiedad,71,Austria,AT,23/05/2024
2019-08,Ansiedad,70,Austria,AT,23/05/2024
2019-09,Ansiedad,74,Austria,AT,23/05/2024
2019-10,Ansiedad,79,Austria,AT,23/05/2024
2019-11,Ansiedad,84,Austria,AT,23/05/2024
2019-12,Ansiedad,76,Austria,AT,23/05/2024
2020-01,Ansiedad,81,Austria,AT,23/05/2024
2020-02,Ansiedad,79,Austria,AT,23/05/2024
2020-03,Ansiedad,93,Austria,AT,23/05/2024
2020-04,Ansiedad,84,Austria,AT,23/05/2024
2020-05,Ansiedad,78,Austria,AT,23/05/2024
2020-06,Ansiedad,75,Austria,AT,23/05/2024
2020-07,Ansiedad,74,Austria,AT,23/05/2024
2020-08,Ansiedad,77,Austria,AT,23/05/2024
2020-09,Ansiedad,80,Austria,AT,23/05/2024
2020-10,Ansiedad,76,Austria,AT,23/05/2024
2020-11,Ansiedad,84,Austria,AT,23/05/2024
2020-12,Ansiedad,80,Austria,AT,23/05/2024
2021-01,Ansiedad,83,Austria,AT,23/05/2024
2021-02,Ansiedad,75,Austria,AT,23/05/2024
2021-03,Ansiedad,80,Austria,AT,23/05/2024
2021-04,Ansiedad,85,Austria,AT,23/05/2024
2021-05,Ansiedad,81,Austria,AT,23/05/2024
2021-06,Ansiedad,69,Austria,AT,23/05/2024
2021-07,Ansiedad,70,Austria,AT,23/05/2024
2021-08,Ansiedad,69,Austria,AT,23/05/2024
2021-09,Ansiedad,75,Austria,AT,23/05/2024
2021-10,Ansiedad,72,Austria,AT,23/05/2024
2021-11,Ansiedad,70,Austria,AT,23/05/2024
2021-12,Ansiedad,76,Austria,AT,23/05/2024
2022-01,Ansiedad,85,Austria,AT,23/05/2024
2022-02,Ansiedad,83,Austria,AT,23/05/2024
2022-03,Ansiedad,100,Austria,AT,23/05/2024
2022-04,Ansiedad,83,Austria,AT,23/05/2024
2022-05,Ansiedad,77,Austria,AT,23/05/2024
2022-06,Ansiedad,78,Austria,AT,23/05/2024
2022-07,Ansiedad,73,Austria,AT,23/05/2024
2022-08,Ansiedad,75,Austria,AT,23/05/2024
2022-09,Ansiedad,85,Austria,AT,23/05/2024
2022-10,Ansiedad,77,Austria,AT,23/05/2024
2022-11,Ansiedad,79,Austria,AT,23/05/2024
2022-12,Ansiedad,80,Austria,AT,23/05/2024
2023-01,Ansiedad,87,Austria,AT,23/05/2024
